,car_brand,car_model,year,km_driven,fuel,seller_type,transmission,owner,selling_price
3424,Maruti,Alto LXi,2009,40000,Petrol,Individual,Manual,First Owner,150000.0
1639,Maruti,Wagon R,2017,30000,Petrol,Individual,Manual,First Owner,350000.0
1503,Tata,Indica GLS,2006,100000,Petrol,Individual,Manual,Second Owner,75000.0
1430,Maruti,Swift Dzire,2011,100000,Petrol,Individual,Manual,Second Owner,300000.0
1985,Chevrolet,Spark 1.0,2009,44800,Petrol,Individual,Manual,Second Owner,170000.0
770,Toyota,Fortuner 2.8,2017,20000,Diesel,Individual,Automatic,First Owner,1186875.375
89,Mercedes-Benz,S-Class S,2017,6500,Diesel,Dealer,Automatic,First Owner,1186875.375
1173,Maruti,Zen LXI,2005,90000,Petrol,Individual,Manual,Second Owner,90000.0
451,Maruti,Swift VDI,2012,80000,Diesel,Individual,Manual,Second Owner,320000.0
3717,Honda,Jazz 1.5,2016,35000,Diesel,Dealer,Manual,First Owner,525000.0
6,Hyundai,Xcent 1.2,2016,25000,Petrol,Individual,Manual,First Owner,550000.0
4134,Maruti,Swift VDI,2015,90000,Diesel,Individual,Manual,First Owner,350000.0
3367,Maruti,Swift 1.3,2007,80000,Petrol,Individual,Manual,Second Owner,73000.0
1234,Renault,KWID 1.0,2017,30300,Petrol,Individual,Manual,First Owner,300000.0
1108,Toyota,Innova 2.5,2012,82000,Diesel,Individual,Manual,First Owner,790000.0
809,Toyota,Innova 2.5,2015,53652,Diesel,Dealer,Manual,First Owner,851000.0
3785,Mahindra,XUV500 W8,2014,100000,Diesel,Individual,Manual,Second Owner,750000.0
360,Mahindra,Scorpio SLE,2014,70000,Diesel,Individual,Manual,Second Owner,500000.0
1262,Hyundai,Santro Xing,2007,50000,Petrol,Individual,Manual,First Owner,100000.0
4200,Ford,Ecosport 1.5,2019,6590,Diesel,Dealer,Manual,First Owner,1186875.375
